species,accession,taxid
Coccothraustes coccothraustes,GCA_965649865.1,37609
Pantholops hodgsonii,GCF_000400835.1,59538
Rhagoletis zephyria,GCF_001687245.2,28612
Teleopsis dalmanni,GCF_002237135.1,139649
Oncorhynchus tshawytscha,GCF_002872995.1,74940
Salvelinus sp. IW2-2015,GCF_002910315.2,2691554
Oncorhynchus nerka,GCF_006149115.2,8023
Aedes albopictus,GCF_006496715.2,7160
Oncorhynchus keta,GCF_012931545.1,8018
Rhagoletis pomonella,GCF_013731165.1,28610
Patiria miniata,GCF_015706575.1,46514
Microtus oregoni,GCF_018167655.1,111838
Coregonus clupeaformis,GCF_018398675.1,59861
Coregonus clupeaformis,GCF_020615455.1,59861
Dipodomys merriami,GCF_024711535.1,94247
Macrosteles quadrilineatus,GCF_028750875.1,74068
Oncorhynchus nerka,GCF_034236695.1,8023
Zophobas morio,GCF_036711695.1,2755281
Procambarus clarkii,GCF_040958095.1,6728
